command,pointer,valid,type,channel,head_hex,triple_referenced,triple_sound_indices,direct_source_reference
251,0x00A16C,True,1,4,01040000,False,,
252,0x00A24A,True,1,1,01010000,True,023,
253,0x00A25C,True,1,2,01020000,False,,
254,0x00A26E,True,1,3,01030000,False,,
255,0x00A280,True,1,4,01040000,False,,
256,0x00A24A,True,1,1,01010000,True,024,
257,0x00A25C,True,1,2,01020000,False,,
258,0x00A26E,True,1,3,01030000,False,,
259,0x00A280,True,1,4,01040000,False,,
260,0x00A18A,True,1,1,01010000,True,025 037,
261,0x00A1A8,True,1,2,01020000,False,,
262,0x00A1C6,True,1,3,01030000,False,,
263,0x00A1E4,True,1,4,01040000,False,,
264,0xFFFFFF,False,,,,True,026,
265,0xFFFFFF,False,,,,False,,
266,0xFFFFFF,False,,,,False,,
267,0xFFFFFF,False,,,,False,,
268,0x00A202,True,1,1,01010000,True,027,
269,0x00A214,True,1,2,01020000,False,,
270,0x00A226,True,1,3,01030000,False,,
271,0x00A238,True,1,4,01040000,False,,
272,0x00A202,True,1,1,01010000,True,028,
273,0x00A214,True,1,2,01020000,False,,
274,0x00A226,True,1,3,01030000,False,,
275,0x00A238,True,1,4,01040000,False,,
276,0x00A24A,True,1,1,01010000,True,029,
277,0x00A25C,True,1,2,01020000,False,,
278,0x00A26E,True,1,3,01030000,False,,
279,0x00A280,True,1,4,01040000,False,,
280,0xFFFFFF,False,,,,True,02A,
281,0xFFFFFF,False,,,,False,,
282,0xFFFFFF,False,,,,False,,
283,0xFFFFFF,False,,,,False,,
284,0xFFFFFF,False,,,,True,02B,
285,0xFFFFFF,False,,,,False,,
286,0xFFFFFF,False,,,,False,,
287,0xFFFFFF,False,,,,False,,
288,0x00A292,True,1,1,01010000,True,02C,
289,0x00A2A4,True,1,2,01020000,False,,
290,0x00A2B6,True,1,3,01030000,False,,
291,0x00A2C8,True,1,4,01040000,False,,
292,0x00A2DA,True,1,1,01010000,True,02D,
293,0x00A2EC,True,1,2,01020000,False,,
294,0x00A2FE,True,1,3,01030000,False,,
295,0x00A310,True,1,4,01040000,False,,
296,0x00A292,True,1,1,01010000,True,02E,
297,0x00A2A4,True,1,2,01020000,False,,
298,0x00A2B6,True,1,3,01030000,False,,
299,0x00A2C8,True,1,4,01040000,False,,
300,0x00A2DA,True,1,1,01010000,True,02F,
301,0x00A2EC,True,1,2,01020000,False,,
302,0x00A2FE,True,1,3,01030000,False,,
303,0x00A310,True,1,4,01040000,False,,
304,0xFFFFFF,False,,,,True,030,
305,0xFFFFFF,False,,,,False,,
306,0xFFFFFF,False,,,,False,,
307,0xFFFFFF,False,,,,False,,
308,0xFFFFFF,False,,,,True,031,
309,0xFFFFFF,False,,,,False,,
