command,track_pointer,track_type,track_channel,triple_sound_indices,direct_source_reference,stream_count,unique_stream_count,stream_addresses_hex,stream_frames,stream_durations_seconds,opcode_sequence_hex,simple_single_stream_program
580,0x00AFFA,1,1,286,,1,1,0x244348,229,1.758720,07 01 00,True
584,0x00B042,1,1,287,,1,1,0x1413F8,129,0.990720,07 01 00,True
588,0x00B08A,1,1,0D3,,1,1,0x3E8684,139,1.067520,07 01 00,True
592,0x00B0D2,1,1,0D4,,1,1,0x3947B6,170,1.305600,07 01 00,True
596,0x00B11A,1,1,0D5,,1,1,0x364E36,117,0.898560,07 01 00,True
600,0x00B162,1,1,0D6,,1,1,0x365BEA,154,1.182720,07 01 00,True
644,0x00B1AA,1,1,061,,2,2,0x1BD250 0x2B3EE6,95 215,0.729600 1.651200,07 01 01 00,False
648,0x00B212,1,1,062,,1,1,0x1BDADC,315,2.419200,07 01 00,True
652,0x00B25A,1,1,063,,1,1,0x3A4638,62,0.476160,07 01 00,True
768,0x00B2A2,1,1,05A,,1,1,0x1BC250,224,1.720320,07 01 00,True
772,0x00B2EA,1,1,05B,,2,2,0x29A3DA 0x39CB9C,164 192,1.259520 1.474560,07 01 01 00,False
900,0x00B352,1,1,066,,1,1,0x204204,350,2.688000,07 01 00,True
904,0x00B39A,1,1,042 067,,2,2,0x20000E 0x30A52C,129 183,0.990720 1.405440,07 01 01 00,False
908,0x00B39A,1,1,068,,2,2,0x20000E 0x30A52C,129 183,0.990720 1.405440,07 01 01 00,False
912,0x00B402,1,1,069,,1,1,0x300984,382,2.933760,07 01 00,True
916,0x00B44A,1,1,06A,,1,1,0x30000E,56,0.430080,07 01 00,True
920,0x00B492,1,1,06B,,1,1,0x3004D8,54,0.414720,07 01 00,True
932,0x00B4DA,1,1,06E,,1,1,0x102A0A,86,0.660480,07 01 00,True
936,0x00B522,1,1,06F,,1,1,0x202D3C,246,1.889280,07 01 00,True
994,0x00B629,1,1,,stop channel 1,0,0,,,,00,False
995,0x00B62E,1,2,,stop channel 2,0,0,,,,00,False
996,0x00B633,1,3,,stop channel 3,0,0,,,,00,False
997,0x00B638,1,4,,stop channel 4,0,0,,,,00,False
1045,0x00B6EE,1,2,085,,1,1,0x2645B2,93,0.714240,07 01 00,True
1057,0x00B6EE,1,2,089,,1,1,0x2645B2,93,0.714240,07 01 00,True
1060,0x00B724,1,1,08A,,1,1,0x366E0A,100,0.768000,07 01 00,True
1063,0x00B75A,1,4,08B,,1,1,0x366E0A,100,0.768000,07 01 00,True
1081,0x00B77E,1,2,092,,1,1,0x122DFC,115,0.883200,07 01 00,True
1084,0x00B76C,1,1,093,,1,1,0x122DFC,115,0.883200,07 01 00,True
1087,0x00B7A2,1,4,094,,1,1,0x122DFC,115,0.883200,07 01 00,True
