triple_sound_index_hex,triple_sound_index_dec,dcs_command,valid,track_pointer
1B8,440,0,True,0x008E42
1B9,441,0,True,0x008E42
1BA,442,3980,True,0x012E5B
1BB,443,3984,True,0x012ED3
1BC,444,3988,True,0x012F4B
1BD,445,0,True,0x008E42
1BE,446,0,True,0x008E42
1BF,447,0,True,0x008E42
1C0,448,0,True,0x008E42
1C1,449,0,True,0x008E42
1C2,450,0,True,0x008E42
1C3,451,0,True,0x008E42
1C4,452,0,True,0x008E42
1C5,453,0,True,0x008E42
1C6,454,0,True,0x008E42
1C7,455,0,True,0x008E42
1C8,456,0,True,0x008E42
1C9,457,0,True,0x008E42
1CA,458,0,True,0x008E42
1CB,459,0,True,0x008E42
1CC,460,0,True,0x008E42
1CD,461,0,True,0x008E42
1CE,462,0,True,0x008E42
1CF,463,0,True,0x008E42
1D0,464,6400,True,0x017A26
1D1,465,6364,True,0x0175EE
1D2,466,6368,True,0x017666
1D3,467,6464,True,0x0181A6
1D4,468,6468,True,0x01821E
1D5,469,6448,True,0x017FC6
1D6,470,6436,True,0x017E5E
1D7,471,6444,True,0x017F4E
1D8,472,6388,True,0x0178BE
1D9,473,6380,True,0x0177CE
1DA,474,6384,True,0x017846
1DB,475,6164,True,0x016156
1DC,476,6156,True,0x0160BE
1DD,477,6168,True,0x0161EE
1DE,478,6172,True,0x016286
1DF,479,6176,True,0x01631E
1E0,480,6180,True,0x0163B6
1E1,481,6192,True,0x01644E
1E2,482,6196,True,0x0164E6
1E3,483,6476,True,0x01830E
1E4,484,6392,True,0x017936
1E5,485,6480,True,0x018386
1E6,486,6484,True,0x0183FE
1E7,487,6500,True,0x0185DE
1E8,488,6504,True,0x018656
1E9,489,6396,True,0x0179AE
1EA,490,6508,True,0x0186CE
1EB,491,6404,True,0x017A9E
1EC,492,6408,True,0x017B16
1ED,493,6536,True,0x01899E
1EE,494,6532,True,0x018926
1EF,495,6540,True,0x018A16
1F0,496,6564,True,0x018CE6
1F1,497,6572,True,0x018DD6
1F2,498,6580,True,0x018EC6
1F3,499,6588,True,0x018FB6
1F4,500,6584,True,0x018F3E
1F5,501,6600,True,0x01911E
1F6,502,6604,True,0x019196
1F7,503,0,True,0x008E42
1F8,504,6556,True,0x018BF6
1F9,505,6144,True,0x015FCE
1FA,506,6148,True,0x016046
1FB,507,2560,True,0x00D47B
1FC,508,2564,True,0x00D4C3
1FD,509,2568,True,0x00D50B
1FE,510,2576,True,0x00D59B
1FF,511,2572,True,0x00D553
200,512,4500,True,0x01312B
201,513,4504,True,0x0131A3
202,514,4508,True,0x01321B
203,515,4512,True,0x013293
204,516,4516,True,0x013293
205,517,4520,True,0x013293
206,518,4524,True,0x01330B
207,519,4536,True,0x01339B
208,520,4540,True,0x0133E3
209,521,4544,False,0xFFFFFF
20A,522,4548,True,0x01342B
20B,523,4552,True,0x01342B
20C,524,4556,True,0x0134A3
20D,525,4560,True,0x01351B
20E,526,4564,True,0x013593
20F,527,4568,True,0x01360B
210,528,4572,True,0x013653
211,529,4576,True,0x01369B
212,530,4580,True,0x0136E3
213,531,4584,True,0x0136E3
214,532,4588,False,0xFFFFFF
215,533,4592,True,0x01372B
216,534,4596,True,0x013773
217,535,4600,True,0x0137BB
218,536,4604,True,0x013803
219,537,4608,True,0x01384B
21A,538,4612,True,0x0139E3
21B,539,4616,True,0x013AFE
