command,pointer,valid,type,channel,triple_sound_indices,direct_source_reference
3436,0x00FFAB,True,1,1,117,
3440,0x010043,True,1,1,118,
3444,0x0100DB,True,1,1,119,
3448,0x010173,True,1,1,11A,
3452,0x01020B,True,1,1,11B,
3456,0x0102A3,True,1,1,11C,
3460,0x01033B,True,1,1,11D,
3464,0x0103D3,True,1,1,11E,
3468,0x01046B,True,1,1,11F,
3472,0x010503,True,1,1,120,
3476,0x01059B,True,1,1,121,
3480,0x010633,True,1,1,122,
3484,0x0106CB,True,1,1,123,
3488,0x010763,True,1,1,124,
3492,0x0107FB,True,1,1,125,
3496,0x010893,True,1,1,126,
3500,0x01092B,True,1,1,127,
3504,0x0109C3,True,1,1,128,
3508,0x010A5B,True,1,1,138,
3512,0x010AD3,True,1,1,139,
3516,0x010B4B,True,1,1,13A,
3528,0xFFFFFF,False,,,137,
3532,0x010BC3,True,1,1,13B,
3536,0x010C3B,True,1,1,153,
3540,0x010CB3,True,1,1,154,
3544,0x010D2B,True,1,1,155,
3548,0x010DA3,True,1,1,156,
3556,0x010E93,True,1,1,143,
3564,0x010F0B,True,1,1,13C,
3568,0x010F83,True,1,1,144,
3580,0x010FFB,True,1,1,159,
3584,0x011073,True,1,1,15A,
3588,0x0110EB,True,1,1,15B,
3592,0x011163,True,1,1,15C,
3600,0x0111DB,True,1,1,15E,
3604,0x011253,True,1,1,15F,
3608,0x0112CB,True,1,1,160,
3612,0x011343,True,1,1,161,
3616,0x0113BB,True,1,1,162,
3624,0x011433,True,1,1,164,
3628,0x0114AB,True,1,1,136,
3632,0x011523,True,1,1,165,
3636,0x01159B,True,1,1,166,
3640,0x011613,True,1,1,12B,
3644,0x01168B,True,1,1,12C,
3648,0x011703,True,1,1,12D,
3652,0x01177B,True,1,1,12E,
3656,0x0117F3,True,1,1,12F,
3660,0x01186B,True,1,1,130,
3664,0x0118E3,True,1,1,131,
3668,0x01195B,True,1,1,132,
3672,0x0119D3,True,1,1,133,
3680,0x011AC3,True,1,1,16F,
3684,0x011B3B,True,1,1,170,
3688,0x011BB3,True,1,1,171,
3692,0xFFFFFF,False,,,172,
3696,0xFFFFFF,False,,,173,
3700,0xFFFFFF,False,,,174,
3704,0xFFFFFF,False,,,175,
3708,0xFFFFFF,False,,,176,
3712,0xFFFFFF,False,,,177,
3716,0xFFFFFF,False,,,178,
3720,0xFFFFFF,False,,,179,
3724,0x011C2B,True,1,1,17A,
3728,0x011CA3,True,1,1,17B,
3736,0x011D1B,True,1,1,17D,
3740,0x011D93,True,1,1,17E,
3744,0x011E0B,True,1,1,17F,
3748,0x011E83,True,1,1,180,
3752,0x011EFB,True,1,1,181,
3756,0x011F73,True,1,1,182,
3760,0x011FEB,True,1,1,183,
3764,0x012063,True,1,1,184,
3768,0x0120DB,True,1,1,185,
3776,0x012153,True,1,1,187,
3780,0x0121CB,True,1,1,188,
3788,0x012263,True,1,1,18A,
3792,0x0122FB,True,1,1,18B,
3796,0x012373,True,1,1,18C,
3800,0x0123EB,True,1,1,18D,
3804,0xFFFFFF,False,,,18E,
3808,0x012483,True,1,1,18F,
3844,0x0124FB,True,1,1,198,
3852,0x012573,True,1,1,19A,
3856,0x0125EB,True,1,1,19B,
3860,0x012663,True,1,1,19C,
3864,0x0126DB,True,1,1,19D,
3868,0x012753,True,1,1,19E,
3872,0x0127CB,True,1,1,19F,
3876,0x012843,True,1,1,1A0,
3880,0x0128BB,True,1,1,1A1,
3884,0x012933,True,1,1,1A2,
3888,0x0129AB,True,1,1,1A3,
3892,0x012A23,True,1,1,1A4,
3896,0x012A9B,True,1,1,1A5,
3900,0x012B13,True,1,1,1A6,
3904,0x012B8B,True,1,1,1A7,
3908,0x012C03,True,1,1,1A8,
3916,0x012C7B,True,1,1,1AA,
3924,0x012CF3,True,1,1,1AC,
3928,0x012D6B,True,1,1,1AD,
3932,0x012DE3,True,1,1,1AE,
3980,0x012E5B,True,1,1,1BA,
3984,0x012ED3,True,1,1,1BB,
3988,0x012F4B,True,1,1,1BC,
3992,0x012FC3,True,1,1,190,
3996,0x01303B,True,1,1,191,
4000,0x0130B3,True,1,1,192,
4500,0x01312B,True,1,1,200,
4504,0x0131A3,True,1,1,201,
4508,0x01321B,True,1,1,202,
4512,0x013293,True,1,1,203,
4516,0x013293,True,1,1,204,
4520,0x013293,True,1,1,205,
4524,0x01330B,True,1,1,206,
4528,0x01330B,True,1,1,234,
4532,0x013353,True,1,1,235,
4536,0x01339B,True,1,1,207,
4540,0x0133E3,True,1,1,208,
4544,0xFFFFFF,False,,,209,
4548,0x01342B,True,1,1,20A,
4552,0x01342B,True,1,1,20B,
4556,0x0134A3,True,1,1,20C,
4560,0x01351B,True,1,1,20D,
4564,0x013593,True,1,1,20E,
4568,0x01360B,True,1,1,20F,
4572,0x013653,True,1,1,210,
4576,0x01369B,True,1,1,211,
4580,0x0136E3,True,1,1,212,
4584,0x0136E3,True,1,1,213,
4588,0xFFFFFF,False,,,214,
4592,0x01372B,True,1,1,215,
4596,0x013773,True,1,1,216,
4600,0x0137BB,True,1,1,217,
4604,0x013803,True,1,1,218,
4608,0x01384B,True,1,1,219,
4612,0x0139E3,True,1,1,21A,
4616,0x013AFE,True,1,1,21B,
4620,0x013B46,True,1,1,21C,
4624,0x013B8E,True,1,1,21D,
4628,0x013BD6,True,1,1,21E,
4632,0x013C1E,True,1,1,21F,
4636,0x013C66,True,1,1,220,
4640,0x013C66,True,1,1,221,
4644,0x013CAE,True,1,1,222,
4648,0x013CF6,True,1,1,223,
4652,0x013D3E,True,1,1,224,
4656,0x013D3E,True,1,1,225,
4660,0x013D3E,True,1,1,226,
4664,0x013D3E,True,1,1,227,
4668,0x013D3E,True,1,1,228,
4672,0x013D86,True,1,1,229,
4676,0x013D86,True,1,1,22A,
4680,0x013DCE,True,1,1,22B,
4684,0x013E46,True,1,1,22C,
4688,0x013EBE,True,1,1,22D,
4692,0x013F36,True,1,1,22E,
4696,0x013FAE,True,1,1,22F,
4700,0x014026,True,1,1,230,
4704,0x014026,True,1,1,231,
4708,0x01409E,True,1,1,232,
4712,0x014116,True,1,1,233,
4800,0x01418E,True,1,1,236,
4804,0x0141D6,True,1,1,237,
4808,0x01421E,True,1,1,238,
4812,0x014266,True,1,1,239,
4816,0x0142AE,True,1,1,23A,
4820,0x0142F6,True,1,1,23B,
4824,0x01433E,True,1,1,23C,
4828,0x014456,True,1,1,23D,
4832,0x01449E,True,1,1,23E,
4836,0x0144E6,True,1,1,23F,
4840,0x01452E,True,1,1,240,
4844,0x014576,True,1,1,241,
4848,0x0145BE,True,1,1,242,
4852,0x014606,True,1,1,243,
4856,0x01464E,True,1,1,244,
4860,0x014696,True,1,1,245,
4864,0x0146DE,True,1,1,246,
4868,0x014726,True,1,1,247,
4872,0x01476E,True,1,1,248,
4876,0x0147B6,True,1,1,249,
4880,0x0147FE,True,1,1,24A,
4884,0x014846,True,1,1,24B,
4888,0x01488E,True,1,1,24C,
4892,0x0148D6,True,1,1,24D,
4896,0x01491E,True,1,1,24E,
4900,0x014966,True,1,1,24F,
4904,0x0149AE,True,1,1,250,
4908,0x014A26,True,1,1,251,
4912,0x014A9E,True,1,1,252,
4916,0x014B16,True,1,1,253,
4920,0x014B8E,True,1,1,254,
4924,0x014C06,True,1,1,255,
4928,0x014C7E,True,1,1,256,
4932,0x014CF6,True,1,1,257,
4936,0x014D6E,True,1,1,258,
4940,0x014DE6,True,1,1,259,
4944,0x014E5E,True,1,1,25A,
4948,0x014ED6,True,1,1,25B,
4952,0x014F4E,True,1,1,25C,
4956,0x014FC6,True,1,1,25D,
4960,0x01503E,True,1,1,25E,
4964,0x0150B6,True,1,1,25F,
4968,0x01512E,True,1,1,260,
4972,0x0151A6,True,1,1,261,
4976,0x01521E,True,1,1,262,
4980,0x015296,True,1,1,263,
4984,0x01530E,True,1,1,264,
4988,0x015386,True,1,1,265,
4992,0x0153FE,True,1,1,266,
5000,0x015476,True,1,1,267,
5004,0x0154EE,True,1,1,268,
5008,0x015566,True,1,1,269,
5012,0x0155DE,True,1,1,26A,
5016,0x015656,True,1,1,26B,
5020,0x0156CE,True,1,1,26C,
5024,0x015746,True,1,1,26D,
5028,0x0157BE,True,1,1,26E,
5032,0x015836,True,1,1,26F,
5036,0x0158AE,True,1,1,270,
5040,0x015926,True,1,1,271,
5044,0x01599E,True,1,1,272,
5048,0x0159E6,True,1,1,273,
5052,0x015A2E,True,1,1,274,
5056,0x015A76,True,1,1,275,
5060,0x015ABE,True,1,1,276,
5064,0x015B06,True,1,1,277,
5068,0x015B4E,True,1,1,278,
5072,0x015B96,True,1,1,279,
5076,0x015BDE,True,1,1,27A,
5080,0x015C26,True,1,1,27B,
5084,0x015C6E,True,1,1,27C,
5088,0x015CB6,True,1,1,27D,
5092,0x015CFE,True,1,1,27E,
5096,0x015D46,True,1,1,27F,
5100,0x015D8E,True,1,1,280,
5104,0x015DD6,True,1,1,281,
6144,0x015FCE,True,1,1,1F9,
6148,0x016046,True,1,1,1FA,
6156,0x0160BE,True,1,1,1DC,
6164,0x016156,True,1,1,1DB,
6168,0x0161EE,True,1,1,1DD,
6172,0x016286,True,1,1,1DE,
6176,0x01631E,True,1,1,1DF,
6180,0x0163B6,True,1,1,1E0,
6192,0x01644E,True,1,1,1E1,
6196,0x0164E6,True,1,1,1E2,
6200,0x01657E,True,1,1,2B4,
6208,0x016616,True,1,1,2B6,
6212,0x0166AE,True,1,1,2B7,
6216,0x016746,True,1,1,2B8,
6220,0x0167DE,True,1,1,2B9,
6224,0x016876,True,1,1,2BA,
6236,0x01690E,True,1,1,2BB,
6240,0x0169A6,True,1,1,2BE,
6276,0x016A3E,True,1,1,2C7,
6280,0x016AB6,True,1,1,2C8,
6284,0x016B2E,True,1,1,2C9,
6288,0x016BA6,True,1,1,2CA,
6292,0x016C1E,True,1,1,2CB,
6296,0x016C96,True,1,1,2CC,
6300,0x016D0E,True,1,1,2CD,
6304,0x016D86,True,1,1,2CE,
6308,0x016DFE,True,1,1,2CF,
6316,0x016F2E,True,1,1,2D1,
6320,0x016FC6,True,1,1,2D2,
6324,0x01705E,True,1,1,2D3,
6328,0x0170F6,True,1,1,2D4,
6332,0x01718E,True,1,1,2D5,
6336,0x017226,True,1,1,2D6,
6344,0x017356,True,1,1,2D8,
6348,0x0173EE,True,1,1,2D9,
6352,0x017466,True,1,1,2DA,
6356,0x0174FE,True,1,1,2DB,
6360,0x017576,True,1,1,2DC,
6364,0x0175EE,True,1,1,1D1,
6368,0x017666,True,1,1,1D2,
6376,0x017756,True,1,1,2DD,
6380,0x0177CE,True,1,1,1D9,
6384,0x017846,True,1,1,1DA,
6388,0x0178BE,True,1,1,1D8,
6392,0x017936,True,1,1,1E4,
6396,0x0179AE,True,1,1,1E9,
6400,0x017A26,True,1,1,1D0,
6404,0x017A9E,True,1,1,1EB,
6408,0x017B16,True,1,1,1EC,
6412,0x017B8E,True,1,1,2DE,
6424,0x017CF6,True,1,1,2E1,
6428,0x017D6E,True,1,1,2E2,
6432,0x017DE6,True,1,1,2E3,
6436,0x017E5E,True,1,1,1D6,
6440,0x017ED6,True,1,1,2E4,
6444,0x017F4E,True,1,1,1D7,
6448,0x017FC6,True,1,1,1D5,
6452,0x01803E,True,1,1,2E5,
6456,0x0180B6,True,1,1,2E6,
6460,0x01812E,True,1,1,2E7,
6464,0x0181A6,True,1,1,1D3,
6468,0x01821E,True,1,1,1D4,
6472,0x018296,True,1,1,2E8,
6476,0x01830E,True,1,1,1E3,
