address,stream_channel,repeat,frames,chip,chip_offset
3361358,1,1,43,5,215630
3362316,1,1,36,5,216588
3363160,1,1,49,5,217432
3364318,1,1,40,5,218590
3405198,1,1,164,5,259470
3409032,1,1,102,5,263304
3411480,1,1,111,5,265752
3414460,1,1,77,5,268732
3416316,1,1,60,5,270588
3417802,1,1,51,5,272074
3418914,1,1,70,5,273186
3420350,1,1,42,5,274622
3421114,1,1,76,5,275386
3422970,1,1,216,5,277242
3433308,1,1,29,5,287580
3434164,1,1,78,5,288436
3436040,1,1,131,5,290312
3439586,1,1,65,5,293858
3441180,1,1,66,5,295452
3442674,1,1,49,5,296946
3443864,1,1,134,5,298136
3447278,1,1,35,5,301550
3448146,1,1,43,5,302418
3449366,1,1,58,5,303638
3450718,1,1,32,5,304990
3451556,1,1,38,5,305828
3452498,1,1,169,5,306770
3456814,1,1,32,5,311086
3457500,1,1,40,5,311772
3459006,1,1,33,5,313278
3460310,1,1,31,5,314582
3544410,1,1,26,5,398682
3545386,1,1,50,5,399658
3547192,1,1,45,5,401464
3548480,1,1,446,5,402752
3558966,1,1,117,5,413238
3562474,1,1,154,5,416746
3567114,1,1,100,5,421386
3569600,1,1,64,5,423872
3571586,1,1,131,5,425858
3575514,1,1,117,5,429786
3578744,1,1,86,5,433016
3581050,1,1,122,5,435322
3584782,1,1,132,5,439054
3588756,1,1,135,5,443028
3592936,1,1,137,5,447208
3596880,1,1,101,5,451152
3599880,1,1,144,5,454152
3604040,1,1,35,5,458312
3605032,1,1,95,5,459304
3608010,1,1,68,5,462282
3610056,1,1,243,5,464328
3617244,1,1,219,5,471516
3623380,1,1,118,5,477652
3626946,1,1,159,5,481218
3631426,1,1,124,5,485698
3634826,1,1,168,5,489098
3639662,1,1,178,5,493934
3644612,1,1,235,5,498884
3651136,1,1,120,5,505408
3654152,1,1,110,5,508424
3657068,1,1,126,5,511340
3660788,1,1,179,5,515060
3665132,1,1,120,5,519404
3668136,1,1,152,5,522408
3672316,1,1,189,5,526588
3677678,1,1,144,5,531950
3681886,1,1,220,5,536158
3687924,1,1,271,5,542196
3695702,1,1,173,5,549974
3700654,1,1,155,5,554926
3705256,1,1,34,5,559528
3706422,1,1,31,5,560694
3707586,1,1,35,5,561858
3741484,1,1,35,5,595756
3742626,1,1,29,5,596898
3743834,1,1,42,5,598106
3745022,1,1,38,5,599294
3746336,1,1,30,5,600608
3747308,1,1,32,5,601580
3748298,1,1,125,5,602570
3752684,1,1,26,5,606956
3753210,1,1,34,5,607482
3753910,1,1,170,5,608182
3759424,1,1,42,5,613696
3760432,1,1,179,5,614704
3767264,1,1,197,5,621536
3784588,1,1,56,5,638860
3785924,1,1,69,5,640196
3787676,1,1,192,5,641948
3802828,1,1,69,5,657100
3808920,1,1,85,5,663192
3810120,1,1,148,5,664392
3814096,1,1,38,5,668368
3815054,1,1,55,5,669326
3816374,1,1,52,5,670646
3819064,1,1,62,5,673336
3890526,1,1,56,5,744798
3892176,1,1,55,5,746448
3965654,1,1,153,5,819926
3969148,1,1,92,5,823420
3971362,1,1,171,5,825634
3974882,1,1,135,5,829154
3978138,1,1,98,5,832410
3980174,1,1,53,5,834446
3981332,1,1,115,5,835604
3998342,1,1,114,5,852614
4000998,1,1,189,5,855270
4005458,1,1,165,5,859730
4009108,1,1,40,5,863380
4009912,1,1,44,5,864184
4010832,1,1,51,5,865104
4011812,1,1,54,5,866084
4012896,1,1,173,5,867168
4016894,1,1,158,5,871166
