triple_sound_index_hex,triple_sound_index_dec,dcs_command,command_valid_in_wwf_l1
2B4,692,6200,True
2B5,693,0,True
2B6,694,6208,True
2B7,695,6212,True
2B8,696,6216,True
2B9,697,6220,True
2BA,698,6224,True
2BB,699,6236,True
2BC,700,0,True
2BD,701,0,True
2BE,702,6240,True
2BF,703,0,True
2C0,704,0,True
2C1,705,0,True
2C2,706,0,True
2C3,707,0,True
2C4,708,0,True
2C5,709,0,True
2C6,710,0,True
2C7,711,6276,True
2C8,712,6280,True
2C9,713,6284,True
2CA,714,6288,True
2CB,715,6292,True
2CC,716,6296,True
2CD,717,6300,True
2CE,718,6304,True
2CF,719,6308,True
2D0,720,0,True
2D1,721,6316,True
2D2,722,6320,True
2D3,723,6324,True
2D4,724,6328,True
2D5,725,6332,True
2D6,726,6336,True
2D7,727,0,True
2D8,728,6344,True
2D9,729,6348,True
2DA,730,6352,True
2DB,731,6356,True
2DC,732,6360,True
2DD,733,6376,True
2DE,734,6412,True
2DF,735,0,True
2E0,736,0,True
2E1,737,6424,True
2E2,738,6428,True
2E3,739,6432,True
2E4,740,6440,True
2E5,741,6452,True
2E6,742,6456,True
2E7,743,6460,True
2E8,744,6472,True
2E9,745,6488,True
2EA,746,6492,True
2EB,747,6496,True
2EC,748,6512,True
2ED,749,6516,True
2EE,750,6520,True
2EF,751,6528,True
2F0,752,0,True
2F1,753,6540,True
2F2,754,6544,True
2F3,755,6548,True
2F4,756,6552,True
2F5,757,6560,True
2F6,758,6568,True
2F7,759,6576,True
2F8,760,6592,True
2F9,761,6608,True
2FA,762,6612,True
2FB,763,6616,True
2FC,764,6620,True
2FD,765,6624,True
2FE,766,6628,True
2FF,767,6632,True
300,768,6636,True
301,769,6640,True
302,770,6644,True
